	minimum	maximum
rxn05655_c	0.09032636579786413	0.112907957252105
rxn03910_c	205.34193824735087	256.6774228201281
rxn04794_c	0.0	987.9564845602696
rxn03908_c	205.34193824735087	256.6774228201152
rxn05485_c	-957.2455201889692	220.83153487973527
rxn10114_c	0.0	1000.0
rxn05496_c	48.17406175890926	60.21757720120195
rxn00527_c	-7.527197150150414	-6.021757719863558
rxn10271_c	0.015054394299681917	0.018809694612286876
rxn01548_c	1.505439429965918	1.8817992875375467
rxn08850_c	-0.01880969461217319	-0.015054394299681917
rxn00546_c	-1000.0	789.6199436800204
rxn05645_c	0.0662393349185777	0.08279916865183168
rxn01116_c	-18.225853366268666	-14.58068269238106
rxn00711_c	218.92100190564432	273.651252393695
rxn00908_c	-984.9456057003408	-109.8205460540479
rxn01138_c	-4.30555676988422	-3.4444454157612654
rxn08820_c	-0.05645397862599566	-0.04516318289870469
rxn05494_c	63.22845605856821	79.0355700765781
rxn01870_c	0.01505439429956823	0.01881799287514241
rxn00297_c	0.6021757719864809	0.7527197150151324
rxn00611_c	214.12266462920252	267.65333079790764
rxn05527_c	-256.7150588058844	-205.37204703595353
rxn10168_c	0.060217577198636366	0.07527197150150387
rxn10042_c	154.7611372634508	1000.0
rxn09657_c	0.06021757719872767	0.07527197150159282
rxn12191_c	-1000.0000000000007	999.9999999999974
rxn05236_c	4.516318289897714	5.645397862612864
rxn00410_c	209.88836532585077	262.3604566684961
rxn01333_c	-9.11292668311637	-7.2903413461809805
rxn12510_c	0.06623933491778322	0.08279916865039065
rxn03933_c	18.065273159591015	22.58159145045113
rxn01986_c	-1.8817992875376603	-1.5054394299661453
rxn01646_c	-0.30108788600568914	-0.24087030879479698
rxn00105_c	0.24087030879464866	0.30108788600579856
rxn00784_c	-1.8817992875378877	-1.505439429966259
rxn02285_c	-45.16318290090203	-36.130546319181576
rxn05663_c	1.2043515439727344	1.505439430030083
rxn03907_c	205.34193824735428	256.6774228201324
rxn01213_c	18.667448931577383	23.334311165466374
rxn00770_c	218.9210019056452	273.6512523937198
rxn05209_c	-418.103825482558	1000.0
rxn05059_c	-1.8817992875375467	-1.505439429965918
rxn10474_c	-0.07527197150147913	-0.06021757719861398
rxn00260_c	-1000.0	-205.76585863900004
rxn00461_c	36.13054631918169	45.1631829009026
rxn10473_c	-0.07527197150147913	-0.06021757719861398
rxn00161_c	0.0	892.808201008027
rxn08309_c	0.015054394299681917	0.018809694612286876
rxn08655_c	-1000.0000000000002	-1.1368683772161603e-13
rxn04113_c	186.67448931577687	233.3431116546674
rxn05551_c	1.1368683772161603e-13	1000.0
rxn01648_c	205.37204703595285	256.7150588058847
rxn05226_c	-999.9999999999992	1000.0000000000156
rxn03641_c	-1.1368683772161603e-13	1000.0
rxn01671_c	0.2408703087936205	0.30108788600580105
rxn05313_c	-157.0411686764494	-125.63293493583558
rxn00785_c	7.2903413461791615	9.112926683115688
rxn03909_c	205.34193824735584	256.6774228201334
rxn00558_c	-1000.0	1000.0
rxn05201_c	9.586638290020346	11.983297863042935
rxn10280_c	0.030108788599250147	0.03763598575062588
rxn05616_c	-0.07527197150147913	-0.06021757719861398
rxn00077_c	3.1313140143293774	3.9141425180780693
rxn01446_c	-1.8817992875376603	-1.5054394299660316
rxn00541_c	-1000.0	-12.04351543972939
rxn00134_c	3.4444454157438127	4.305556769876039
rxn09109_c	0.015054394299681917	0.018817992875369782
rxn01200_c	7.290341346175751	9.112926683112505
rxn00763_c	-0.018809694612286876	-0.015054394299681917
rxn00122_c	0.006021757719863568	0.007523877844867351
rxn05223_c	0.060217577198635686	0.07527197150150433
rxn01649_c	-7.677741093153372	-6.1421928742609
rxn09345_c	18.667448931577155	23.334311165466033
rxn01466_c	18.667448931577155	23.334311165466147
rxn02008_c	36.130546319181285	45.163182900901596
rxn03904_c	18.065273159590674	22.581591450450787
rxn00778_c	197.04997786709987	246.3124723443599
rxn03901_c	36.73272209116778	45.91590261591709
rxn00193_c	36.13054631918135	45.163182900901575
rxn10272_c	0.015054394299681917	0.01881799287548347
rxn05197_c	218.92100190564156	273.6512523937188
rxn10770_c	-1000.0	1000.0
rxn10281_c	0.030108788599363834	0.03763598575062588
rxn02341_c	0.06623933491993339	0.08279916865058252
rxn01519_c	4.51631828989772	5.645397862612733
rxn08797_c	-0.05645397862588197	-0.04516318289881838
rxn05232_c	3.0108788599316947	3.7635985750751675
rxn01513_c	3.0108788599316805	3.7635985750752377
rxn08307_c	0.01505439429956823	0.018817992875369782
rxn08657_c	0.0	1000.0
rxn00686_c	-3.7635985750749796	-3.010878859931722
rxn00157_c	-1000.0	239.4792609251973
rxn01236_c	-1000.0	0.0
rxn05289_c	206.0921372384168	1000.0
rxn00933_c	-7.52244907925251	987.956484560269
rxn00293_c	-273.651252393719	-218.92100190564702
EX_cpd00276_e	-1000.0	178.07705506891077
EX_cpd00082_e	-1000.0	999.9849456057
EX_cpd00080_e	-268.57541244879496	-214.86032994987943
