sample	MDS1	MDS2
highspore_74	-0.000863021105306	-0.005992798022489
highspore_75	-0.010392508418516	-0.001970003505807
highspore_76	-0.00178095021916	0.00156882685274
highspore_77	-0.007276378232417	-0.009006896510397
highspore_78	-0.003685036865392	0.001378426873379
highspore_79	-0.001872976110025	-0.005955106254038
highspore_80	-0.00312989576651	-0.005602838402276
highspore_81	-0.002952361712161	-0.003695021307053
highspore_82	-0.000935798718453	-0.005495545707703
highspore_83	0.000208350874518	-0.005814457883349
highspore_84	-0.008457130931267	0.001247700269804
highspore_85	-0.001275918657412	-0.007466786838519
highspore_86	-0.002645901738473	0.000134781279282
highspore_87	-0.003744269028542	0.003840435135476
highspore_88	-0.007126488275111	0.006819363741452
highspore_89	-0.006211773567401	-0.00113240206531
highspore_90	-0.005423727604327	0.001595085910064
highspore_91	-0.004501863689789	0.000735976197484
highspore_92	-0.002775513186906	-0.007020570791523
highspore_93	-0.001542862374352	-0.005227145239087
highspore_94	-0.001477061857285	-0.004409683679342
highspore_95	-0.006589704996369	0.003596438545725
highspore_96	-0.003178898178322	0.006376652837674
highspore_97	-0.002798910424451	-0.002833073181943
highspore_98	-0.004735700851993	0.007832532011698
highspore_99	-0.000172590178894	-0.00469518561798
highspore_100	-0.001576299263961	-0.007246730339543
highspore_101	-0.005833624068342	-0.005913425763075
highspore_102	-0.002915688702577	-0.001964997878025
highspore_103	-0.00949219256424	-0.010192468851595
highspore_104	-0.000992600589043	-0.006002600288424
highspore_105	-0.008473490523783	-0.002603926034279
highspore_106	-0.002565708113091	-0.001243768336633
highspore_107	-0.003301807358029	-0.004134045120377
highspore_108	-0.007260004619208	0.006582048413443
highspore_109	-0.003995774965223	-0.004640066344961
highspore_110	-0.002619533418651	-0.004957625707114
highspore_111	-0.006389275673933	-0.010677226312346
highspore_112	-0.008315898590686	0.003748310331452
highspore_113	-0.004654446221236	0.005359669092271
highspore_114	-0.006481134278695	0.002174101017443
highspore_115	-0.003750059175507	-0.004944215394323
highspore_116	-0.004467558913798	-0.000163364132265
highspore_117	-0.006920458867315	0.0048952055254
highspore_118	-0.003850171791015	-0.006064669510127
highspore_119	-0.000749100134656	-0.001436854205758
highspore_120	-0.003994184974079	0.000150919921245
highspore_121	-0.00741543930379	-0.008109534066634
highspore_122	-0.002390434637887	-0.003588963764716
highspore_123	-0.002464514209975	0.000437033602328
highspore_124	-0.004960944910264	-0.006280782885879
highspore_125	-0.004289085623752	0.003421744933208
highspore_126	-0.002375427449801	0.000158829551245
highspore_127	-0.007089241505059	0.007126674996762
highspore_128	-0.005824483499882	0.007616866792749
highspore_129	-0.005585449144258	0.00519300909121
highspore_130	-0.005698685384793	-0.006091335904984
highspore_131	-0.004503340285893	-0.004551879850766
highspore_132	-0.002301447982681	-0.006421181803175
highspore_133	-0.001308038066321	-0.004473583045027
highspore_134	-9.17691541614943E-05	-0.005864632753968
highspore_135	-0.007530405210677	-0.008066594806314
highspore_136	-0.001090391845279	-0.005856304603844
highspore_137	-0.005352900694993	0.001641766661609
highspore_138	-0.003013559219258	-0.006576890037862
highspore_139	-0.007217707717412	-0.004403683552968
highspore_140	-0.002080017525176	-0.007658337958553
highspore_141	-0.007666437207019	0.00564725173868
highspore_142	-0.00523246960302	0.005916811607187
highspore_143	-0.001703108443318	-0.005298769161781
highspore_144	-0.003195058119638	-0.00597885724059
highspore_145	-0.004443129092905	0.00200750679007
highspore_146	-0.003511649349745	-0.000596437799138
highspore_147	-0.001414390114698	-0.000556041021762
highspore_148	-0.0099726465894	0.006315509975154
highspore_149	-0.003036605852626	-0.003965725736483
highspore_150	-0.003019884589293	-0.006966365152339
highspore_151	-0.003984458370623	-0.00370973281631
highspore_152	-0.001026737634088	-0.006714243422019
highspore_153	-0.004476104344843	0.005537480787896
highspore_154	-9.41488513419934E-05	-0.006355522445361
highspore_155	-0.004201521399903	0.001561008440874
highspore_156	-0.006871201570854	0.003169553483848
highspore_157	-0.008114332738497	-0.003455072896712
highspore_158	-0.005506961119731	-0.002137159507026
highspore_159	-0.001728766159776	-0.006838786225296
highspore_160	-0.001760832527316	-0.002065583697724
highspore_161	-0.005824054248507	0.005679016020815
highspore_162	-0.006171441680579	-0.003976312066995
highspore_163	-0.003188089133545	-0.003960379663466
highspore_164	-0.003390041973487	-0.006349361307334
highspore_165	-0.003842568776339	-0.002007500748051
highspore_166	-0.001241967285397	-0.005850447207336
highspore_167	-0.003182870749027	-0.005163332910465
highspore_168	-0.000867271489518	-0.00585397718004
highspore_169	-0.006716684291171	0.000941418778181
highspore_170	-0.00235177053744	-0.004399353335022
highspore_171	-0.007508901491354	-0.006557962009155
highspore_172	-0.003298766815991	-0.007042100457568
highspore_173	-0.008716108067257	0.005077052332718
highspore_174	-0.006405460206197	-0.001165684738473
highspore_175	-0.004028152213574	-0.000723792728449
highspore_176	-0.002826679589529	-0.004424016917264
highspore_177	-0.000916610195254	-0.003770013693335
highspore_178	-0.00694477300053	-0.006514558830116
highspore_179	-0.006265319846717	0.005343294638863
highspore_180	-0.008502439497585	-0.001047856094047
highspore_181	-0.002895951418913	-0.004317575770413
highspore_182	-0.002864593472476	-0.000842716167518
highspore_183	-0.008335352247671	-0.002915731520353
highspore_184	-0.002968157391989	0.001098346801314
highspore_185	-0.007307349458133	0.000360549486173
highspore_186	-0.008109848566197	0.002028702331941
highspore_187	-0.007214326138956	-0.003056386950621
highspore_188	-0.005945783492759	-0.002217936775722
highspore_189	-0.005405686989118	-0.003266901425664
highspore_190	-0.006459530548948	0.001044743121828
highspore_191	-0.005515812985675	0.004894858863088
highspore_192	-0.001248436192954	-0.00727028056812
highspore_193	-0.006042957389775	-0.000732374316599
highspore_194	-0.002801982680516	-0.004856228373761
highspore_195	-0.004086724400855	-0.001300613373137
highspore_196	-0.003728585484793	0.003045918531769
highspore_197	-0.006842738795508	0.002478812868257
highspore_198	-0.002006716642454	-0.004711183043115
highspore_199	-0.008463433157366	-4.06480148993432E-05
highspore_200	-0.005417709524535	-0.000963575795418
highspore_201	0.000193204581799	-0.006967344813553
highspore_202	-0.0008818063445	-0.00708179014585
highspore_203	-0.002713550393843	-0.006428047789958
