essential	patric
CDR20291_3308	645463.3.peg.1197
CDR20291_3310	645463.3.peg.1198
CDR20291_3311	645463.3.peg.1199
CDR20291_3312	645463.3.peg.1200
CDR20291_3318	645463.3.peg.1201
CDR20291_3320	645463.3.peg.1202
CDR20291_3323	645463.3.peg.1203
CDR20291_3333	645463.3.peg.1204
CDR20291_3335	645463.3.peg.1205
CDR20291_3339	645463.3.peg.1207
CDR20291_3351	645463.3.peg.1208
CDR20291_3352	645463.3.peg.1209
CDR20291_3355	645463.3.peg.1210
CDR20291_3375	645463.3.peg.1211
CDR20291_3378	645463.3.peg.1212
CDR20291_3384	645463.3.peg.1213
CDR20291_3385	645463.3.peg.1214
CDR20291_3389	645463.3.peg.1215
CDR20291_3390	645463.3.peg.1216
CDR20291_3392	645463.3.peg.1217
CDR20291_3397	645463.3.peg.1218
CDR20291_3399	645463.3.peg.1219
CDR20291_3403	645463.3.peg.1220
CDR20291_3473A	645463.3.peg.1221
CDR20291_3473B	645463.3.peg.1222
CDR20291_3512	645463.3.peg.1223
CDR20291_3513	645463.3.peg.1224
CDR20291_3516	645463.3.peg.1225
CDR20291_3517	645463.3.peg.1226
CDR20291_3518	645463.3.peg.1227
CDR20291_3519	645463.3.peg.1228
CDR20291_3520	645463.3.peg.1229
CDR20291_3522	645463.3.peg.1230
CDR20291_3523	645463.3.peg.1231
CDR20291_3525	645463.3.peg.1232
CDR20291_3526	645463.3.peg.1233
CDR20291_3535	645463.3.peg.1234
CDR20291_3540	645463.3.peg.1235
CDR20291_3541	645463.3.peg.119
CDR20291_3542	645463.3.peg.1236
CDR20291_3543	645463.3.peg.1237
CDR20291_3544	645463.3.peg.1238
CDR20291_3545	645463.3.peg.1239
CDR20291_3546	645463.3.peg.1240
CDR20291_3547	645463.3.peg.1241
