gene	transcript	inclusion
b0573	0.0	0
b0572	0.0	0
b4053	1.0	0
b4054	3.0	0
b0576	0.0	1
b0575	0.0	0
b2679	0.0	0
b2676	0.0	0
b2677	0.0	0
b0578	1.0	0
b2904	1.0	0
b2905	2.0	0
b0474	4.0	1
b2907	2.0	0
b4119	0.0	0
b4388	0.0	0
b3370	0.0	0
b2877	0.0	1
b3493	1.0	1
b1415	0.0	1
b4111	8.0	0
b2895	1.0	1
b4115	14.0	0
b2599	1.0	0
b4117	8.0	0
b1276	2.0	1
b0004	24.0	0
b0522	2.0	0
b2276	1.0	1
b4214	0.0	0
b3956	29.0	0
b2279	0.0	1
b0475	0.0	1
b3371	0.0	0
b0099	0.0	1
b0153	0.0	0
b2378	2.0	0
b0155	1.0	1
b0154	1.0	1
b2373	0.0	0
b0091	2.0	0
b0092	1.0	0
b3430	4.0	1
b2954	0.0	0
b0096	6.0	0
b2374	0.0	0
b2874	0.0	1
b0523	1.0	0
b1278	0.0	1
b0026	13.0	0
b2156	1.0	1
b2155	0.0	0
b2154	1.0	0
b2010	0.0	1
b2789	0.0	1
b2919	0.0	0
b2400	5.0	1
b4025	11.0	0
b0077	2.0	0
b0074	3.0	0
b3870	2.0	1
b0072	4.0	0
b0073	3.0	0
b0070	0.0	0
b0071	2.0	0
b3972	1.0	1
b0003	16.0	0
b3437	0.0	0
b2976	0.0	1
b0002	73.0	0
b3974	0.0	1
b0524	0.0	0
b0726	1.0	1
b1872	0.0	1
b4024	2.0	0
b2024	1.0	0
b3128	0.0	1
b2478	5.0	0
b3476	1.0	0
b3475	1.0	0
b0151	0.0	0
b2687	2.0	1
b2574	4.0	0
b0383	0.0	0
b2470	0.0	0
b2979	0.0	0
b4123	0.0	0
b0159	1.0	1
b0388	1.0	1
b3479	0.0	0
b3478	0.0	0
b2411	1.0	0
b2283	5.0	1
b2704	0.0	0
b2705	0.0	0
b2702	0.0	0
b2703	0.0	0
b2282	1.0	1
b3639	1.0	1
b2281	1.0	1
b0781	0.0	1
b1981	1.0	0
b2975	0.0	1
b0207	0.0	0
b2280	1.0	1
b2492	0.0	1
b0200	1.0	0
b2490	0.0	0
b0186	2.0	0
b2539	0.0	0
b0432	0.0	0
b0930	4.0	0
b2498	1.0	0
b2286	5.0	1
b2889	0.0	0
b0638	0.0	0
b3772	17.0	0
b2781	1.0	0
b0430	0.0	0
b2320	1.0	1
b1236	2.0	0
b2883	0.0	0
b2882	0.0	0
b0007	0.0	0
b1008	0.0	0
b2827	1.0	0
b2799	0.0	0
b0078	1.0	0
b2307	0.0	0
b0433	0.0	0
b2794	0.0	0
b1002	0.0	0
b2796	1.0	0
b4390	1.0	1
b1006	0.0	1
b1232	1.0	0
b4238	1.0	0
b4239	0.0	0
b2288	1.0	1
b4230	0.0	0
b4231	0.0	0
b4232	1.0	0
b4233	2.0	1
b1215	2.0	0
b3091	0.0	0
b0754	21.0	0
b0477	0.0	1
b1261	2.0	0
b1185	0.0	0
b1186	1.0	0
b0854	0.0	0
b0855	0.0	0
b0856	0.0	0
b0857	0.0	0
b0785	0.0	1
b3018	0.0	1
b2683	0.0	1
b2813	0.0	0
b0635	0.0	1
b1852	3.0	0
b1851	1.0	0
b0185	2.0	1
b1857	0.0	0
b1679	0.0	0
b1854	13.0	1
b1912	1.0	1
b1676	8.0	1
b1859	0.0	0
b1238	0.0	1
b0347	0.0	0
b2415	1.0	0
b1325	1.0	0
b3729	4.0	0
b3728	0.0	0
b1453	0.0	1
b4153	2.0	1
b1599	0.0	0
b3722	0.0	0
b0104	0.0	0
b0181	2.0	0
b1592	0.0	1
b0103	0.0	1
b1590	0.0	0
b2893	1.0	0
b3449	1.0	0
b0677	1.0	0
b1759	0.0	0
b1693	0.0	1
b1692	0.0	1
b4245	3.0	0
b4244	2.0	0
b1329	0.0	1
b4240	0.0	0
b3959	0.0	0
b4242	0.0	0
b0583	0.0	0
b0586	0.0	0
b1281	0.0	0
b0584	0.0	1
b0585	0.0	0
b3092	0.0	0
b0025	2.0	1
b0588	0.0	1
b0589	0.0	1
b0386	0.0	0
b4129	2.0	0
b0616	0.0	0
b3551	1.0	0
b0614	0.0	0
b3553	1.0	0
b3125	0.0	1
b3124	0.0	0
b3127	0.0	1
b3805	2.0	1
b3653	1.0	0
b3559	7.0	0
b3650	3.0	0
b0403	1.0	0
b2942	11.0	1
b3835	1.0	0
b0462	3.0	0
b2935	4.0	1
b3429	3.0	1
b2937	0.0	0
b2529	1.0	1
b3425	0.0	0
b3426	0.0	0
b2297	12.0	1
b2290	1.0	1
b2523	1.0	1
b2836	1.0	1
b2688	3.0	0
b4069	0.0	0
b3005	0.0	1
b1521	0.0	0
b3001	0.0	0
b1525	0.0	0
b2578	0.0	0
b0032	0.0	0
b0825	0.0	1
b0030	0.0	0
b0394	0.0	0
b0036	0.0	0
b2472	1.0	0
b4067	0.0	0
b0827	1.0	1
b2817	0.0	0
b0009	0.0	1
b0826	0.0	1
b2129	0.0	0
b3882	0.0	0
b0928	7.0	1
b2476	4.0	0
b2585	2.0	1
b0828	2.0	0
b2203	0.0	0
b2202	0.0	0
b2201	0.0	0
b2200	0.0	0
b2133	4.0	1
b2206	0.0	0
b2205	0.0	0
b2204	0.0	0
b1442	0.0	1
b3991	1.0	0
b2066	0.0	1
b2065	0.0	0
b0008	10.0	1
b2746	0.0	1
b2747	0.0	1
b3903	0.0	0
b3902	0.0	0
b3907	0.0	0
b0639	0.0	1
b3904	0.0	0
b0241	0.0	1
b0243	2.0	0
b3908	0.0	0
b2841	0.0	0
b4132	0.0	0
b0066	0.0	1
b4467	0.0	0
b2508	4.0	0
b2838	1.0	0
b4460	0.0	0
b2701	0.0	0
b4468	0.0	0
b1713	6.0	0
b2441	2.0	0
b2440	0.0	0
b4254	0.0	0
b2114	2.0	0
b2514	3.0	0
b2720	1.0	0
b0936	0.0	0
b0068	0.0	1
b0494	1.0	0
b3258	0.0	1
b2392	0.0	1
b3564	0.0	0
b2239	0.0	1
b3774	3.0	0
b0517	0.0	1
b2721	2.0	0
b2542	0.0	0
b2678	0.0	0
b1814	1.0	0
b1812	0.0	1
b3161	0.0	1
b0688	4.0	1
b0810	0.0	0
b0811	1.0	0
b4209	0.0	1
b0813	0.0	0
b3469	1.0	0
b1819	2.0	0
b1818	2.0	0
b1033	1.0	0
b1982	2.0	0
b0728	1.0	1
b0731	0.0	0
b1131	1.0	0
b1134	0.0	0
b1136	3.0	1
b0727	1.0	1
b1710	0.0	0
b1247	12.0	1
b1244	8.0	1
b0783	0.0	1
b0784	0.0	1
b3568	0.0	0
b1241	44.0	1
b3565	0.0	0
b0662	1.0	0
b3566	0.0	0
b3560	3.0	0
b3997	1.0	1
b3396	0.0	1
b3447	0.0	1
b3288	2.0	0
b2787	0.0	0
b3281	1.0	1
b1474	0.0	0
b1245	8.0	1
b3519	2.0	0
b0150	0.0	0
b1621	0.0	0
b1622	1.0	0
b1623	0.0	0
b3213	6.0	0
b2499	1.0	0
b0861	0.0	0
b0860	0.0	0
b1781	1.0	0
b3041	2.0	1
b3266	0.0	0
b2311	0.0	1
b2920	0.0	0
b3265	0.0	0
b1519	0.0	0
b3380	0.0	1
b2393	0.0	1
b0088	2.0	0
b3390	2.0	1
b1764	2.0	0
b1767	1.0	0
b1761	5.0	1
b3224	0.0	0
b0086	1.0	1
b3385	1.0	0
b0134	2.0	0
b1768	0.0	0
b2366	0.0	0
b0963	1.0	0
b0968	0.0	0
b2316	3.0	1
b2243	0.0	0
b2242	0.0	0
b2241	0.0	0
b3992	2.0	0
b0142	0.0	1
b3605	0.0	0
b4193	0.0	0
b4192	0.0	0
b4195	0.0	0
b4197	0.0	0
b4196	0.0	0
b4198	0.0	0
b2675	0.0	0
b0149	1.0	1
b3608	2.0	1
b0997	0.0	1
b4392	1.0	0
b3415	0.0	1
b1246	11.0	1
b3945	2.0	0
b0996	0.0	1
b0109	1.0	0
b3942	4.0	0
b2418	1.0	0
b3940	1.0	0
b2416	17.0	0
b2417	7.0	0
b2414	19.0	0
b2147	0.0	0
b3779	2.0	0
b1264	1.0	0
b0121	1.0	0
b3785	1.0	0
b0368	0.0	0
b0369	1.0	1
b3781	2.0	1
b4033	0.0	0
b4031	0.0	0
b1711	0.0	1
b1714	2.0	0
b2964	0.0	1
b3867	1.0	1
b0366	0.0	0
b3788	1.0	0
b0365	0.0	0
b2092	4.0	0
b3671	0.0	0
b2091	1.0	0
b2096	5.0	0
b2097	5.0	0
b3670	0.0	0
b3831	2.0	1
b3749	0.0	0
b0931	4.0	0
b1486	0.0	1
b2938	3.0	0
b0915	0.0	0
b2563	0.0	0
b0444	1.0	0
b0910	0.0	1
b2564	2.0	1
b1719	13.0	0
b3990	1.0	0
b0945	1.0	0
b3860	1.0	0
b0918	2.0	0
b0752	1.0	0
b0863	0.0	0
b3823	2.0	0
b2128	0.0	0
b1069	0.0	1
b0736	1.0	1
b1064	1.0	0
b2738	0.0	0
b1062	1.0	0
b1992	0.0	0
b1993	0.0	0
b1991	1.0	0
b0212	0.0	0
b3225	0.0	0
b4258	5.0	0
b3727	0.0	0
b0751	2.0	1
b2797	0.0	0
b4485	0.0	0
b0085	2.0	0
b2810	1.0	0
b3256	4.0	1
b3403	1.0	0
b0173	1.0	1
b2890	6.0	0
b0067	0.0	1
b0679	0.0	0
b2026	1.0	0
b2025	1.0	0
b2868	0.0	0
b2023	1.0	0
b3543	0.0	1
b2021	2.0	0
b2020	2.0	0
