MDS1	MDS2
rough_217	0.0101673653146567	0.0126937056396321
rough_218	-0.0122815756040569	0.00367737218407112
rough_219	-0.00820089158847236	0.00413243467379531
rough_220	-0.0176636661157309	0.00650555563905234
rough_221	-0.01716207438136	0.00529701808504462
rough_222	-0.0167281156959694	-0.00804537792097578
rough_223	-0.00278233515266483	0.0178222085582771
rough_224	-0.00563686013023788	0.0127653784618749
rough_225	-0.0114643274966088	-0.00789507154808617
rough_226	-0.00367303523114637	0.0154289493786345
rough_227	-0.00685239359351446	0.00456241511063006
rough_228	-0.00338653507780073	0.0110830081690381
rough_229	-0.0196636936336135	-0.00840266227127932
rough_230	-0.0023216764118313	0.0165492240801762
rough_231	-0.0139788627177584	0.0133227836667149
rough_232	-0.0187020147477229	0.00685928693617419
rough_233	-0.0224891370626193	-0.0079224455922366
rough_234	-0.0263510735336294	0.000133639124865913
rough_235	0.00669961135647304	0.0130981408862121
rough_236	-0.013453598434293	-0.00523337682117674
rough_237	-0.0163618076672312	-0.007312945056521
rough_238	-0.0165344430660084	0.00329403066495413
rough_239	-0.0117952571115768	-0.00278291726956732
rough_240	-0.00099420808214921	-0.00402062906505079
rough_241	-0.00428824529712641	0.0176277000666071
rough_242	-0.0118122296339659	0.003431269865912
rough_243	0.00855585861877618	0.0132447270933959
rough_244	-0.00579335446310763	0.0086926832419762
rough_245	0.00169915471295971	0.00664865723325347
rough_246	-0.0260334222397346	0.0117367724321886
rough_247	0.00151713281918133	-0.00253488574546859
rough_248	-0.0171336116386446	0.0100434478789655
rough_249	-0.0141063794155268	-0.00850711730081122
rough_250	0.00761362554339196	0.00214813437349869
smooth_1	0.00353014590759055	0.00461413390960696
smooth_2	0.0108895526293278	0.00559148221962586
smooth_3	-0.00513007004639981	0.0131145363402911
smooth_4	-0.00470166268874621	-0.00585470002764706
smooth_5	0.0179380997364891	0.0106784338494844
smooth_6	0.0164968802467089	-0.000968372819251796
smooth_7	-0.00142397188487052	-0.0178301679527425
smooth_8	0.00536986559412021	-0.0132907844070989
smooth_9	-0.00202767566257464	-0.00187118563952918
smooth_10	0.0070867541981939	-0.0105279104541517
smooth_11	-0.000517863370974089	0.0164846724201363
smooth_12	0.0125010537375434	0.0101717328847622
smooth_13	0.0171663473948057	-0.00899036693376871
smooth_14	0.0112187162903367	-0.00721073398876471
smooth_15	-0.00059568362956896	-0.00276795996423218
smooth_16	-0.00272681177641853	-0.0075194674286919
smooth_17	0.0250084358916606	-0.0128329273588939
smooth_18	0.0166489898134094	0.00285377442926342
