	minimum	maximum
rxn10271_c	0.014844579041550787	0.018555723801910062
rxn05202_c	6.056588248966932	7.570735311235467
rxn08850_c	-0.018555723802047785	-0.014844579041585496
rxn00546_c	-1000.0	1000.0000000000002
rxn05645_c	0.06531614778316452	0.08164518472915461
rxn01116_c	-19.208885279882452	-15.367108223853506
rxn00711_c	215.86986842273322	269.83733552937866
rxn10184_c	-1000.0	999.9999999999998
rxn00908_c	-985.1554209584145	-188.7972282496969
rxn01138_c	-4.245549605916835	-3.3964396847251237
rxn08820_c	-0.055667171406184934	-0.04453373712476605
rxn05494_c	62.34723197465837	77.9340399685999
rxn01870_c	0.014844579041664474	673.6595609835472
rxn00297_c	0.5937831616633957	0.7422289520818595
rxn00611_c	-0.8513765746057516	653.3788791185768
rxn05527_c	-253.13718410753393	-202.50974728530878
rxn08647_c	0.0	673.6441655139863
rxn10168_c	0.0593783161663418	0.0742228952081901
rxn10042_c	278.6269051255632	1000.0
rxn09657_c	0.05937831616643052	0.07422289520832237
rxn12191_c	-1000.0	430.63734642684125
rxn05236_c	4.453373712475635	5.566717140614336
rxn00410_c	206.96312099778882	258.7039012481546
rxn01333_c	-9.604442639938952	-7.683554111924764
rxn12510_c	0.06531614778169399	0.08164518473149536
rxn03933_c	17.813494849902668	22.26686856245726
rxn01646_c	-0.29689158083442635	-0.23751326466765477
rxn00105_c	0.23751326466705547	0.2968915808344513
rxn02285_c	-44.53373712491407	-35.62698969980477
rxn05663_c	1.1875663233268365	1.4844579041638144
rxn03907_c	202.48005812723034	253.100072659935
rxn01213_c	18.40727801156629	23.009097514539462
rxn00459_c	0.0	673.6441655139918
rxn00770_c	215.8698684227381	269.8373355293816
rxn05209_c	-814.9538835876826	1000.0
rxn05059_c	-1.8555723802047623	-1.4844579041584893
rxn10474_c	-0.07422289520820868	-0.059378316166316836
rxn00260_c	-1000.0	-310.00198926294047
rxn00461_c	35.62698969980488	44.533737124913955
rxn10473_c	-0.07422289520820868	-0.059378316166316836
rxn00161_c	0.0	709.0197315176894
rxn08309_c	0.014844579041664474	0.018555723802251123
rxn08655_c	-1000.0000000000002	-1.1368683772161603e-13
rxn04113_c	184.07278011565919	230.09097514540247
rxn01648_c	202.5097472853082	253.13718410751824
rxn00704_c	36.22077286146873	45.275966076992745
rxn03641_c	-2.3874235921539382e-12	1000.0
rxn01671_c	0.2375132646645418	0.29689158083550776
rxn05313_c	-565.5082622503719	102.98181546269291
rxn00785_c	7.683554111923513	9.604442639940658
rxn03909_c	202.48005812723068	253.10007265993036
rxn00558_c	36.22077286146964	45.27596607699661
rxn05201_c	3.3964396847106855	4.2455496059120605
rxn10280_c	0.029689158083101574	0.0371114476040475
rxn05616_c	-0.07422289520820868	-0.059378316166316836
rxn00077_c	3.0876724406498046	3.859590550825818
rxn00541_c	-989.3480659394473	-11.875663233268256
rxn00134_c	3.3964396847191796	4.245549605911866
rxn09109_c	0.014844579041550787	0.01855572380202375
rxn01200_c	7.683554111926128	9.604442639940885
rxn00763_c	-0.01855572380216042	-0.014844579041698261
rxn00122_c	0.005937831616634121	0.0074113229873419345
rxn05223_c	0.059378316166341275	0.07422289520819086
rxn01649_c	-7.570735311235353	-6.056588248966932
rxn00085_c	5.937831616634185	7.422289520819049
rxn09345_c	18.407278011566177	23.009097514539008
rxn01466_c	18.407278011566063	23.009097514539008
rxn02008_c	35.626989699804845	44.533737124914396
rxn03904_c	17.81349484990244	22.26686856245726
rxn00778_c	192.81920608695827	241.02400760955356
rxn03901_c	36.220772861468774	45.275966076996454
rxn00193_c	35.62698969980477	44.533737124914296
rxn10272_c	0.014844579041550787	0.01855572380202375
rxn05197_c	215.8698684227379	269.837335529377
rxn10770_c	-430.637346426853	1000.0
rxn10281_c	0.02968915808321526	0.0371114476040475
rxn02341_c	0.06531614778249387	0.08164518473170031
rxn01519_c	4.453373712475592	5.5667171406143146
rxn08797_c	-0.05566717140607125	-0.04453373712476605
rxn05232_c	2.9689158083171177	3.711144760409533
rxn01513_c	2.9689158083171847	3.7111447604095065
rxn08307_c	0.014844579041550787	0.018555723801910062
rxn08657_c	0.0	1000.0
rxn00686_c	-3.711144760409411	-2.9689158083169787
rxn00157_c	-1000.0	67.34838350655104
