reaction	linear_coefficient
rxn05367_c	0.5604662685632645
rxn05371_c	0.5604662685632645
rxn05346_c	0.5604662685632645
rxn05417_c	0.5604662685632645
rxn05363_c	0.5604662685632645
rxn05349_c	0.5604662685632645
rxn05344_c	0.5604662685632645
rxn05413_c	0.5604662685632645
rxn05379_c	0.5604662685632645
rxn01358_c	0.46157120481535296
rxn01446_c	0.46157120481535296
rxn01647_c	0.46157120481535296
rxn01548_c	0.46157120481535296
rxn01646_c	0.46157120481535296
rxn01985_c	0.46157120481535296
rxn01649_c	0.46157120481535296
rxn01859_c	0.46157120481535296
rxn01799_c	0.46157120481535296
rxn01138_c	0.46157120481535296
rxn02168_c	0.03302576653296628
rxn00490_c	0.03302576653296628
rxn05958_c	0.5934313303229275
rxn09177_c	0.7033147479907267
rxn00519_c	0.7033147479907267
rxn02341_c	0.7033147479907267
rxn12512_c	0.7033147479907267
rxn00305_c	0.7033147479907267
rxn01018_c	0.9340699372462127
rxn00678_c	0.9340699372462127
rxn00258_c	0.9340699372462127
rxn03136_c	0.9450582911661004
rxn00539_c	0.9450582911661004
rxn00800_c	0.9450582911661004
rxn00211_c	0.9450582911661004
rxn00689_c	0.7912215185842894
rxn01210_c	0.7912215185842894
rxn01603_c	0.7912215185842894
rxn01303_c	1.0
rxn00192_c	1.0
rxn01636_c	1.0
rxn01961_c	1.0
rxn00831_c	1.0
rxn00550_c	1.0
rxn01670_c	1.0
rxn01218_c	1.0
rxn00913_c	1.0
rxn00363_c	1.0
rxn01507_c	1.0
rxn01521_c	1.0
rxn00708_c	1.0
rxn01445_c	1.0
rxn00132_c	1.0
rxn01145_c	1.0
rxn02400_c	1.0
rxn01199_c	0.9340699372462127
rxn01343_c	0.7143031019106143
rxn00545_c	0.7143031019106143
rxn01215_c	0.7143031019106143
rxn06488_c	0.9340699372462127
rxn02835_c	1.0
rxn02834_c	1.0
rxn01547_c	1.0
rxn02504_c	0.7033147479907267
rxn00783_c	0.7033147479907267
rxn04082_c	0.9450582911661004
rxn08352_c	0.5934313303229275
rxn08756_c	0.5934313303229275
rxn04113_c	0.5934313303229275
rxn04996_c	0.5934313303229275
rxn01600_c	1.0
rxn02795_c	0.3406994332276661
rxn03094_c	0.3406994332276661
rxn04068_c	0.3406994332276661
rxn02796_c	0.3406994332276661
rxn03095_c	0.3406994332276661
rxn02015_c	0.3406994332276661
rxn10264_c	0.9340699372462127
rxn10263_c	0.9340699372462127
rxn09109_c	0.9340699372462127
rxn10259_c	0.9340699372462127
rxn09108_c	0.9340699372462127
rxn09111_c	0.9340699372462127
rxn10262_c	0.9340699372462127
rxn09114_c	0.9340699372462127
rxn09113_c	0.9340699372462127
rxn09110_c	0.9340699372462127
rxn10260_c	0.9340699372462127
rxn09112_c	0.9340699372462127
rxn10261_c	0.9340699372462127
rxn08310_c	1.0
rxn08309_c	1.0
rxn10223_c	1.0
rxn08308_c	1.0
rxn10221_c	1.0
rxn10225_c	1.0
rxn10224_c	1.0
rxn08312_c	1.0
rxn10222_c	1.0
rxn10220_c	1.0
rxn08307_c	1.0
