patric	Smooth_1	Smooth_2
645463.3.peg.1332	25.6961018297534	26.7700875099443
645463.3.peg.1351	36.6666666666667	33.2432432432432
645463.3.peg.136	174.882075471698	184.630503144654
645463.3.peg.1372	20.7692307692308	22.8205128205128
645463.3.peg.1373	33.9259259259259	35.3333333333333
645463.3.peg.1374	16.8010752688172	17.4731182795699
645463.3.peg.1376	321.465968586387	327.923211169284
645463.3.peg.1377	247.94776119403	258.146766169154
645463.3.peg.1378	83.7431693989071	90.8469945355191
645463.3.peg.1379	99.6055226824458	111.63708086785
645463.3.peg.1380	132.315521628499	151.4631043257
645463.3.peg.14	263.679245283019	259.473270440252
645463.3.peg.1406	1312.7532228361	1303.06169429098
645463.3.peg.1409	19.1309987029831	19.1958495460441
645463.3.peg.1410	30.1229508196721	32.9918032786885
645463.3.peg.1411	123.333333333333	136.25
645463.3.peg.1418	13.1659056316591	11.9482496194825
645463.3.peg.1419	18.3080808080808	19.1287878787879
645463.3.peg.1421	53.9408866995074	58.128078817734
645463.3.peg.1423	180.783582089552	196.393034825871
645463.3.peg.1428	14.1666666666667	12.5757575757576
645463.3.peg.143	88.9447236180905	95.2680067001675
645463.3.peg.1441	47.9976442873969	49.8233215547703
645463.3.peg.1442	54.1062801932367	55.9782608695652
645463.3.peg.1447	21.1692597831212	20.2734559170203
645463.3.peg.1451	130.645161290323	138.792390405294
645463.3.peg.1456	88.6650868878357	96.0900473933649
645463.3.peg.1464	47.5526641883519	51.0842627013631
645463.3.peg.1466	381.243124312431	433.993399339934
645463.3.peg.1476	1.42857142857143	1.48148148148148
645463.3.peg.1478	2.04761904761905	2.42857142857143
645463.3.peg.1479	2.41796200345423	2.24525043177893
645463.3.peg.148	0.647249190938511	0.161812297734628
645463.3.peg.1481	3.25034578146611	4.21853388658368
645463.3.peg.1482	3.3596837944664	5.53359683794466
645463.3.peg.1483	3.06427503736921	1.94319880418535
645463.3.peg.149	0.611620795107034	1.68195718654434
645463.3.peg.1493	1.00401606425703	0.652610441767068
645463.3.peg.1494	0.976909413854352	0.769686204854944
645463.3.peg.150	0.674157303370787	0.299625468164794
645463.3.peg.1562	2.7060270602706	2.2140221402214
645463.3.peg.1577	134.446347031963	137.813926940639
645463.3.peg.1580	16.4203612479475	15.5582922824302
645463.3.peg.1582	9.28120063191153	9.36018957345972
645463.3.peg.1592	0.268336314847943	0.417412045319022
645463.3.peg.1593	0.65597667638484	0.947521865889213
645463.3.peg.1594	1.86915887850467	1.63551401869159
645463.3.peg.1595	2532.67326732673	2626.51265126513
645463.3.peg.1596	2165.25	2289.08333333333
645463.3.peg.1598	65.9195402298851	62.5287356321839
645463.3.peg.1601	13.4591194968553	14.1509433962264
645463.3.peg.1602	10.7097591888466	11.0266159695818
645463.3.peg.1603	11.8483412322275	12.2432859399684
645463.3.peg.1604	34.1584158415842	35.1485148514851
