uniprot	ec_number	refseq	kegg	patric
Q182H9_CLOD6	5.3.1.8	WP_004454782.1;YP_001089005.1	cdf:CD630_24910;pdc:CDIF630_02738	272563.120.peg.2630
Q180X7_CLOD6	5.3.1.6	WP_003437841.1;YP_001090000.1	cdf:CD630_34800;pdc:CDIF630_03791	272563.120.peg.3678
Q185J3_CLOD6	5.3.1.6	WP_003430700.1;YP_001088835.1	cdf:CD630_23200;pdc:CDIF630_02558	272563.120.peg.2451
Q184Q2_CLOD6	5.3.1.5	WP_009898127.1;YP_001089578.1	cdf:CD630_30640;pdc:CDIF630_03347	272563.120.peg.3230
HIS4_CLOD6	5.3.1.16	WP_003436675.1;YP_001088053.1	cdf:CD630_15520;pdc:CDIF630_01721	272563.120.peg.1626
Q181T6_CLOD6	5.3.1.1	WP_011861867.1;YP_001089689.1	cdf:CD630_31720;pdc:CDIF630_03464	272563.120.peg.3347
Q180Z8_CLOD6	5.2.1.8	WP_009892066.1;YP_001090021.1	cdf:CD630_35000;pdc:CDIF630_03813	272563.120.peg.3700
Q18D70_CLOD6	5.2.1.8	WP_003434191.1;YP_001086800.1	cdf:CD630_03310;pdc:CDIF630_00459	272563.120.peg.350
TIG_CLOD6	5.2.1.8	WP_003417090.1;YP_001089822.1	cdf:CD630_33060;pdc:CDIF630_03607	272563.120.peg.3491
Q185D5_CLOD6	5.2.1.8	WP_009897434.1;YP_001088777.1	cdf:CD630_22630;pdc:CDIF630_02497	272563.120.peg.2390
Q18C77_CLOD6	5.2.1.8	WP_009902572.1;YP_001088058.1	cdf:CD630_15570;pdc:CDIF630_01726	272563.120.peg.1631
Q18BM5_CLOD6	5.2.1.8	WP_009889131.1;YP_001087853.1	cdf:CD630_13570;pdc:CDIF630_01513	272563.120.peg.1418
NANE_CLOD6	5.1.3.9	WP_003430452.1;YP_001088755.1	cdf:CD630_22410;pdc:CDIF630_02474	272563.120.peg.2368
Q185F0_CLOD6	5.1.3.4	WP_009897453.1;YP_001088790.1	cdf:CD630_22780;pdc:CDIF630_02513	272563.120.peg.2405
Q183E8_CLOD6	5.1.3.2	WP_011861656.1;YP_001089225.1	cdf:CD630_27140;pdc:CDIF630_02971	272563.120.peg.2858
Q18AN3_CLOD6	5.1.3.14	WP_003437003.1;YP_001087514.1	cdf:CD630_10330;pdc:CDIF630_01169	272563.120.peg.1073
Q184U7_CLOD6	5.1.3.1	WP_009891451.1;YP_001089623.1	cdf:CD630_31090;pdc:CDIF630_03393	272563.120.peg.3275
Q182R3_CLOD6	5.1.3.1	WP_003431138.1;YP_001089091.1	cdf:CD630_25750;pdc:CDIF630_02828	272563.120.peg.2716
Q185J4_CLOD6	5.1.3.1	WP_003430699.1;YP_001088834.1	cdf:CD630_23190;pdc:CDIF630_02557	272563.120.peg.2450
Q182T1_CLOD6	5.1.1.7	WP_009897787.1;YP_001089107.1	cdf:CD630_25900;pdc:CDIF630_02844	272563.120.peg.2732
PRAC_CLOD6	5.1.1.4	WP_003422090.1;YP_001089754.1	cdf:CD630_32370;pdc:CDIF630_03533	272563.120.peg.3419
Q181G1_CLOD6	5.1.1.3	WP_003425992.1;YP_001090085.1	cdf:CD630_35620;pdc:CDIF630_03882	272563.120.peg.3765
Q187Z6_CLOD6	5.1.1.13	WP_011861432.1;YP_001088542.1	cdf:CD630_20280;pdc:CDIF630_02249	272563.120.peg.2139
Q188N5_CLOD6	5.1.1.12	WP_011860813.1;YP_001086919.1	cdf:CD630_04480;pdc:CDIF630_00576	272563.120.peg.473
Q180W0_CLOD6	5.1.1.1	WP_003437830.1;YP_001089983.1	cdf:CD630_34630;pdc:CDIF630_03774	272563.120.peg.3660
Q186I3_CLOD6	5.1.1.1	WP_009893196.1;YP_001088129.1	cdf:CD630_16280;pdc:CDIF630_01805	272563.120.peg.1706
Q18BQ6_CLOD6	5.1.1.-	WP_003438474.1;YP_001087888.1	cdf:CD630_13890;pdc:CDIF630_01549	272563.120.peg.1455
Q180U7_CLOD6	5.-.-.-	WP_009898687.1;YP_001089969.2	cdf:CD630_34490;pdc:CDIF630_03760	272563.120.peg.3645
Q180S2_CLOD6	4.99.1.3	WP_003437727.1;YP_001089942.1	cdf:CD630_34220;pdc:CDIF630_03730	272563.120.peg.3616
Q186S3_CLOD6	4.6.1.17	WP_004454438.1;YP_001088218.1	cdf:CD630_17140;pdc:CDIF630_01902	272563.120.peg.1798
ISPF_CLOD6	4.6.1.12	WP_003425513.1;YP_001086511.1	cdf:CD630_00480;pdc:CDIF630_00110	272563.120.peg.52
Q184L6_CLOD6	4.4.1.8	WP_011861787.1;YP_001089544.1	cdf:CD630_30290;pdc:CDIF630_03313	272563.120.peg.3195
Q18AZ1_CLOD6	4.4.1.5	WP_003419037.1;YP_001087625.1	cdf:CD630_11340;pdc:CDIF630_01281	272563.120.peg.1182
LUXS_CLOD6	4.4.1.21	WP_003422312.1;YP_001090122.1	cdf:CD630_35980;pdc:CDIF630_03920	272563.120.peg.3804
Q181I0_CLOD6	4.4.1.11	WP_011862002.1;YP_001090101.1	cdf:CD630_35770;pdc:CDIF630_03898	272563.120.peg.3781
Q181M9_CLOD6	4.3.3.7	WP_003435760.1;YP_001090150.1	cdf:CD630_36270	272563.8.peg.3800
Q17ZX0_CLOD6	4.3.3.7	WP_003422063.1;YP_001089742.1	cdf:CD630_32250;pdc:CDIF630_03521	272563.120.peg.3406
Q17ZW8_CLOD6	4.3.3.7	WP_003438799.1;YP_001089740.1	cdf:CD630_32230;pdc:CDIF630_03518	272563.120.peg.3404
Q18BJ9_CLOD6	4.3.2.2	WP_003438353.1;YP_001087830.1	cdf:CD630_13340;pdc:CDIF630_01490	272563.120.peg.1394
Q18C72_CLOD6	4.3.2.10;_3.5.1.2	WP_003436678.1;YP_001088052.1	cdf:CD630_15510;pdc:CDIF630_01720	272563.120.peg.1625
HIS6_CLOD6	4.3.2.10	WP_003436672.1;YP_001088054.1	cdf:CD630_15530;pdc:CDIF630_01722	272563.120.peg.1627
ARLY_CLOD6	4.3.2.1	WP_009890714.1;YP_001089013.2	cdf:CD630_25000;pdc:CDIF630_02747	272563.120.peg.2639
EUTC_CLOD6	4.3.1.7	WP_009897052.1;YP_001088421.1	cdf:CD630_19140;pdc:CDIF630_02118	272563.120.peg.2010
Q187M3_CLOD6	4.3.1.7	WP_011861389.1;YP_001088420.1	cdf:CD630_19130;pdc:CDIF630_02117	272563.120.peg.2009
Q182J9_CLOD6	4.3.1.19	WP_009890721.1;YP_001089027.1	cdf:CD630_25140;pdc:CDIF630_02763	272563.120.peg.2653
Q17ZW7_CLOD6	4.3.1.17	WP_003422058.1;YP_001089739.1	cdf:CD630_32220;pdc:CDIF630_03517	272563.120.peg.3403
Q181U9_CLOD6	4.3.1.15	WP_011861869.1;YP_001089701.1	cdf:CD630_31840;pdc:CDIF630_03476	272563.120.peg.3359
Q188F2_CLOD6	4.3.1.15	WP_009890217.1;YP_001088599.1	cdf:CD630_20850;pdc:CDIF630_02308	272563.120.peg.2199
Q188Y6_CLOD6	4.3.1.12	WP_003439110.1;YP_001087020.1	cdf:CD630_05440;pdc:CDIF630_00657	272563.120.peg.553
Q189B2_CLOD6	4.2.99.18	WP_011860857.1;YP_001087041.1	cdf:CD630_05650	272563.8.peg.592
Q187E5_CLOD6	4.2.3.5	WP_011861346.1;YP_001088341.1	cdf:CD630_18350;pdc:CDIF630_02037	272563.120.peg.1930
Q187E4_CLOD6	4.2.3.4	WP_009893310.1;YP_001088339.1	cdf:CD630_18330;pdc:CDIF630_02035	272563.120.peg.1928
MGSA_CLOD6	4.2.3.3	WP_003438060.1;YP_001087645.1	cdf:CD630_11530;pdc:CDIF630_01300	272563.120.peg.1202
Q185Q9_CLOD6	4.2.3.1	WP_003434031.1;YP_001088632.1	cdf:CD630_21180;pdc:CDIF630_02347	272563.120.peg.2236
Q18B90_CLOD6	4.2.2.-	WP_003438164.1;YP_001087719.1	cdf:CD630_12260;pdc:CDIF630_01375	272563.120.peg.1277
Q187Y2_CLOD6	4.2.1.9	WP_011861428.1;YP_001088528.1	cdf:CD630_20140;pdc:CDIF630_02233	272563.120.peg.2123
Q184J4_CLOD6	4.2.1.7	WP_003439842.1;YP_001089520.1	cdf:CD630_30020;pdc:CDIF630_03287	272563.120.peg.3169
Q183W0_CLOD6	4.2.1.7	WP_009898047.1;YP_001089385.1	cdf:CD630_28720;pdc:CDIF630_03140	272563.120.peg.3024
FABZ_CLOD6	4.2.1.59	WP_003420731.1;YP_001086597.1	cdf:CD630_01280;pdc:CDIF630_00244	272563.120.peg.140
Q189Z6_CLOD6	4.2.1.55	WP_011860959.1;YP_001087277.1	cdf:CD630_08000	272563.8.peg.837
Q18AQ8_CLOD6	4.2.1.55	WP_011861082.1;YP_001087538.1	cdf:CD630_10570;pdc:CDIF630_01197	272563.120.peg.1097
Q184J1_CLOD6	4.2.1.52	WP_003439840.1;YP_001089518.1	cdf:CD630_30000;pdc:CDIF630_03285	272563.120.peg.3167
Q187E6_CLOD6	4.2.1.51;_5.4.99.5	WP_011861347.1;YP_001088342.1	cdf:CD630_18360;pdc:CDIF630_02038	272563.120.peg.1931
LEUD_CLOD6	4.2.1.33	WP_003437092.1;YP_001087472.1	cdf:CD630_09910;pdc:CDIF630_01127	272563.120.peg.1030
LEUC_CLOD6	4.2.1.33	WP_009895941.1;YP_001087471.1	cdf:CD630_09900;pdc:CDIF630_01126	272563.120.peg.1029
Q18A28_CLOD6	4.2.1.3	WP_004454235.1;YP_001087310.1	cdf:CD630_08330;pdc:CDIF630_00952	272563.120.peg.856
Q180R7_CLOD6	4.2.1.24	WP_003437722.1;YP_001089939.2	cdf:CD630_34190;pdc:CDIF630_03727	272563.120.peg.3613
Q18AK1_CLOD6	4.2.1.2	WP_003437060.1;YP_001087485.1	cdf:CD630_10040;pdc:CDIF630_01140	272563.120.peg.1043
Q18AK2_CLOD6	4.2.1.2	WP_003437062.1;YP_001087484.1	cdf:CD630_10030;pdc:CDIF630_01139	272563.120.peg.1042
HIS7_CLOD6	4.2.1.19	WP_003436680.1;YP_001088051.1	cdf:CD630_15500;pdc:CDIF630_01719	272563.120.peg.1624
Q18A74_CLOD6	4.2.1.136;_5.1.99.6	WP_009892822.1;YP_001087353.1	cdf:CD630_08790;pdc:CDIF630_00999	272563.120.peg.903
MURQ_CLOD6	4.2.1.126	WP_003431390.1;YP_001089561.1	cdf:CD630_30460;pdc:CDIF630_03330	272563.120.peg.3212
ENO_CLOD6	4.2.1.11	WP_009898301.1;YP_001089687.1	cdf:CD630_31700	272563.8.peg.3321
AROD_CLOD6	4.2.1.10	WP_009897376.1;YP_001088731.2	cdf:CD630_22170;pdc:CDIF630_02450	272563.120.peg.2341
Q186A4_CLOD6	4.2.1.1	WP_003423380.1;YP_001088727.2	cdf:CD630_22130;pdc:CDIF630_02446	272563.120.peg.2337
Q185L4_CLOD6	4.2.1.-;_5.3.3.3	WP_003430738.1;YP_001088856.1	cdf:CD630_23410;pdc:CDIF630_02580	272563.120.peg.2472
Q186V7_CLOD6	4.2.1.-	WP_004454390.1;YP_001088253.1	cdf:CD630_17490;pdc:CDIF630_01943	272563.120.peg.1838
Q18AK3_CLOD6	4.2.-.-	WP_003437064.1;YP_001087483.1	cdf:CD630_10020;pdc:CDIF630_01138	272563.120.peg.1041
THIC_CLOD6	4.1.99.17	WP_009889633.1;YP_001088205.1	cdf:CD630_17020	272563.8.peg.1780
Q186Q4_CLOD6	4.1.99.12;_3.5.4.25	WP_009889591.1;YP_001088201.1	cdf:CD630_16980;pdc:CDIF630_01883	272563.120.peg.1781
Q18D17_CLOD6	4.1.99.-	WP_003435960.1;YP_001086744.1	cdf:CD630_02750;pdc:CDIF630_00399	272563.120.peg.293
Q18BW9_CLOD6	4.1.3.38	WP_003438634.1;YP_001087948.1	cdf:CD630_14470;pdc:CDIF630_01611	272563.120.peg.1516
Q185B3_CLOD6	4.1.3.3	WP_009890428.1;YP_001088754.1	cdf:CD630_22400;pdc:CDIF630_02473	272563.120.peg.2367
Q181M7_CLOD6	4.1.3.16	WP_011862015.1;YP_001090149.1	cdf:CD630_36260;pdc:CDIF630_03949	272563.120.peg.3833
Q182T0_CLOD6	4.1.2.5	WP_009903270.1;YP_001089108.1	cdf:CD630_25910;pdc:CDIF630_02845	272563.120.peg.2733
