uniprot	ec_number	refseq	kegg	patric
Q181W5_CLOD6	1.2.7.8	WP_003430808.1;YP_001088893.1	cdf:CD630_23810;pdc:CDIF630_02621	272563.120.peg.2514
Q181W6_CLOD6	1.2.7.8	WP_003430806.1;YP_001088892.1	cdf:CD630_23800;pdc:CDIF630_02620	272563.120.peg.2513
Q189R4_CLOD6	1.2.7.4	WP_011860935.1;YP_001087193.1	cdf:CD630_07160;pdc:CDIF630_00832	272563.120.peg.737
Q18CR1_CLOD6	1.2.7.4	WP_009888019.1;YP_001086644.1	cdf:CD630_01740;pdc:CDIF630_00296	272563.120.peg.190
Q183B6_CLOD6	1.2.7.-	WP_003427073.1;YP_001089193.1	cdf:CD630_26820;pdc:CDIF630_02936	272563.120.peg.2825
Q182B5_CLOD6	1.2.7.-	WP_009890635.1;YP_001088941.1	cdf:CD630_24290;pdc:CDIF630_02671	272563.120.peg.2563
Q182B2_CLOD6	1.2.7.-	WP_004454726.1;YP_001088940.1	cdf:CD630_24280;pdc:CDIF630_02670	272563.120.peg.2562
Q182B3_CLOD6	1.2.7.-	WP_003430880.1;YP_001088939.1	cdf:CD630_24270;pdc:CDIF630_02669	272563.120.peg.2561
Q185Y6_CLOD6	1.2.7.-	WP_003433885.1;YP_001088712.1	cdf:CD630_21990;pdc:CDIF630_02431	272563.120.peg.2321
Q185Y7_CLOD6	1.2.7.-	WP_003433887.1;YP_001088711.1	cdf:CD630_21980;pdc:CDIF630_02430	272563.120.peg.2320
Q185Y4_CLOD6	1.2.7.-	WP_003433888.1;YP_001088710.1	cdf:CD630_21970;pdc:CDIF630_02429	272563.120.peg.2319
Q18CK6_CLOD6	1.2.7.-	WP_003420711.1;YP_001086587.1	cdf:CD630_01180;pdc:CDIF630_00233	272563.120.peg.130
Q18CK7_CLOD6	1.2.7.-	WP_003420710.1;YP_001086586.1	cdf:CD630_01170;pdc:CDIF630_00232	272563.120.peg.129
Q18CK8_CLOD6	1.2.7.-	WP_003432442.1;YP_001086585.1	cdf:CD630_01160;pdc:CDIF630_00231	272563.120.peg.128
Q18CB6_CLOD6	1.2.4.1	WP_004453965.1;YP_001086499.1	cdf:CD630_00360	272563.8.peg.45
Q18CC3_CLOD6	1.2.4.1	WP_004453964.1;YP_001086500.1	cdf:CD630_00370;pdc:CDIF630_00099	272563.120.peg.41
Q189C4_CLOD6	1.2.1.9	WP_009895591.1;YP_001087055.1	cdf:CD630_05800;pdc:CDIF630_00693	272563.120.peg.590
Q188A0_CLOD6	1.2.1.38	WP_011861435.1;YP_001088548.1	cdf:CD630_20340;pdc:CDIF630_02255	272563.120.peg.2145
Q180G2_CLOD6	1.2.1.2	WP_011861905.1;YP_001089834.2	cdf:CD630_33170;pdc:CDIF630_03619	272563.8.peg.3472
Q185L7_CLOD6	1.2.1.16	WP_004454646.1;YP_001088857.1	cdf:CD630_23420;pdc:CDIF630_02581	272563.120.peg.2473
Q17ZW9_CLOD6	1.2.1.11	WP_003422061.1;YP_001089741.1	cdf:CD630_32240;pdc:CDIF630_03520	272563.120.peg.3405
Q187M7_CLOD6	1.2.1.10	WP_011861390.1;YP_001088424.1	cdf:CD630_19170;pdc:CDIF630_02121	272563.120.peg.2013
Q186X6_CLOD6	1.2.1.-	WP_011861329.1;YP_001088273.1	cdf:CD630_17670	272563.8.peg.1855
Q181T9_CLOD6	1.2.1.-	WP_003421962.1;YP_001089691.1	cdf:CD630_31740;pdc:CDIF630_03466	272563.120.peg.3349
Q18C55_CLOD6	1.18.1.2	WP_009896496.1;YP_001088037.1	cdf:CD630_15360;pdc:CDIF630_01704	272563.120.peg.1609
ISPH_CLOD6	1.17.7.4	WP_003439450.1;YP_001088323.1	cdf:CD630_18180;pdc:CDIF630_02018	272563.120.peg.1912
Q185R7_CLOD6	1.17.7.3	WP_011861462.1;YP_001088642.1	cdf:CD630_21280;pdc:CDIF630_02359	272563.120.peg.2248
Q18CJ6_CLOD6	1.17.4.2	WP_003436320.1;YP_001086576.1	cdf:CD630_01080;pdc:CDIF630_00204	272563.120.peg.119
Q184I5_CLOD6	1.17.4.1	WP_011861778.1;YP_001089513.1	cdf:CD630_29950;pdc:CDIF630_03279	272563.120.peg.3162
Q184I6_CLOD6	1.17.4.1	WP_003439817.1;YP_001089512.1	cdf:CD630_29940;pdc:CDIF630_03278	272563.120.peg.3161
Q18BC3_CLOD6	1.17.4.1	WP_003438236.1;YP_001087755.1	cdf:CD630_12610;pdc:CDIF630_01414	272563.120.peg.1319
Q17ZX4_CLOD6	1.17.1.8	WP_011861884.1;YP_001089746.1	cdf:CD630_32290;pdc:CDIF630_03525	272563.120.peg.3410
Q17ZX1_CLOD6	1.17.1.8	WP_003438808.1;YP_001089743.1	cdf:CD630_32260;pdc:CDIF630_03522	272563.120.peg.3407
Q181U2_CLOD6	1.17.1.4	WP_009891588.1;YP_001089694.1	cdf:CD630_31770;pdc:CDIF630_03469	272563.120.peg.3352
Q188G9_CLOD6	1.17.1.4	WP_003434060.1;YP_001088614.1	cdf:CD630_21000;pdc:CDIF630_02323	272563.120.peg.2214
Q188G6_CLOD6	1.17.1.4	WP_009897245.1;YP_001088613.1	cdf:CD630_20990;pdc:CDIF630_02322	272563.120.peg.2213
Q188F6_CLOD6	1.17.1.4	WP_003434079.1;YP_001088602.1	cdf:CD630_20880;pdc:CDIF630_02311	272563.120.peg.2202
Q188F4_CLOD6	1.17.1.4	WP_011861450.1;YP_001088601.1	cdf:CD630_20870;pdc:CDIF630_02310	272563.120.peg.2201
Q188E9_CLOD6	1.17.1.4	WP_009902988.1;YP_001088595.2	cdf:CD630_20810;pdc:CDIF630_02304	272563.120.peg.2195
Q188E7_CLOD6	1.17.1.4	WP_011861448.1;YP_001088594.1	cdf:CD630_20800;pdc:CDIF630_02303	272563.120.peg.2194
Q188E8_CLOD6	1.17.1.4	WP_011861447.1;YP_001088593.1	cdf:CD630_20790;pdc:CDIF630_02302	272563.120.peg.2193
Q188E2_CLOD6	1.17.1.4	WP_011861444.1;YP_001088587.1	cdf:CD630_20730;pdc:CDIF630_02296	272563.120.peg.2187
Q185Y2_CLOD6	1.16.3.2	WP_003433890.1;YP_001088708.1	cdf:CD630_21950;pdc:CDIF630_02427	272563.120.peg.2317
Q18A22_CLOD6	1.15.1.1	WP_004453642.1;YP_001087304.1	cdf:CD630_08270;pdc:CDIF630_00946	272563.120.peg.850
Q186I6_CLOD6	1.15.1.1	WP_009889536.1;YP_001088132.1	cdf:CD630_16310;pdc:CDIF630_01808	272563.120.peg.1709
Q180F8_CLOD6	1.12.7.2	WP_011861902.1;YP_001089830.1	cdf:CD630_33140	272563.8.peg.3468
Q18A86_CLOD6	1.12.7.2	WP_009895925.1;YP_001087368.1	cdf:CD630_08940;pdc:CDIF630_01014	272563.120.peg.918
Q18A87_CLOD6	1.12.7.2	WP_009888725.1;YP_001087367.2	cdf:CD630_08930;pdc:CDIF630_01013	272563.120.peg.917
Q185A6_CLOD6	1.12.2.1	WP_003433830.1;YP_001088747.2	cdf:CD630_22330;pdc:CDIF630_02466	272563.120.peg.2360
Q186C1_CLOD6	1.11.1.6	WP_009896673.1;YP_001088067.1	cdf:CD630_15670;pdc:CDIF630_01736	272563.120.peg.1640
Q18BV5_CLOD6	1.11.1.15	WP_011861211.1;YP_001087934.1	cdf:CD630_14330	272563.8.peg.1505
Q187D3_CLOD6	1.11.1.15	WP_003439443.1;YP_001088327.1	cdf:CD630_18220;pdc:CDIF630_02023	272563.120.peg.1917
Q18AJ3_CLOD6	1.1.1.95	WP_003437082.1;YP_001087476.1	cdf:CD630_09950;pdc:CDIF630_01131	272563.120.peg.1034
Q182W5_CLOD6	1.1.1.94	WP_011861619.1;YP_001089141.1	cdf:CD630_26300	272563.8.peg.2754
ILVC_CLOD6	1.1.1.86	WP_011861252.1;YP_001088065.1	cdf:CD630_15650;pdc:CDIF630_01734	272563.120.peg.1638
Q18AJ0_CLOD6	1.1.1.85	WP_011861060.1;YP_001087473.1	cdf:CD630_09920;pdc:CDIF630_01128	272563.120.peg.1031
Q185L3_CLOD6	1.1.1.61	WP_011861531.1;YP_001088853.1	cdf:CD630_23380;pdc:CDIF630_02577	272563.120.peg.2469
Q183P5_CLOD6	1.1.1.60	WP_011861698.1;YP_001089326.1	cdf:CD630_28130;pdc:CDIF630_03078	272563.120.peg.2963
Q18A33_CLOD6	1.1.1.41	WP_004454234.1;YP_001087311.1	cdf:CD630_08340;pdc:CDIF630_00953	272563.120.peg.857
Q18AK8_CLOD6	1.1.1.38	WP_011861063.1;YP_001087486.1	cdf:CD630_10050	272563.8.peg.1056
Q183B5_CLOD6	1.1.1.30	WP_009890906.1;YP_001089190.1	cdf:CD630_26790;pdc:CDIF630_02933	272563.120.peg.2822
Q186D4_CLOD6	1.1.1.3	WP_003429993.1;YP_001088080.1	cdf:CD630_15800;pdc:CDIF630_01751	272563.120.peg.1653
Q18B25_CLOD6	1.1.1.3	WP_011861130.1;YP_001087658.1	cdf:CD630_11660;pdc:CDIF630_01314	272563.120.peg.1216
Q188H7_CLOD6	1.1.1.28	WP_003431407.1;YP_001086860.1	cdf:CD630_03940;pdc:CDIF630_00522	272563.120.peg.414
Q189A3_CLOD6	1.1.1.274	WP_009895580.1;YP_001087037.1	cdf:CD630_05610;pdc:CDIF630_00674	272563.120.peg.571
Q185V1_CLOD6	1.1.1.27	WP_011861477.1;YP_001088677.1	cdf:CD630_21640;pdc:CDIF630_02396	272563.120.peg.2285
DXR_CLOD6	1.1.1.267	WP_011861463.1;YP_001088644.1	cdf:CD630_21300;pdc:CDIF630_02361	272563.120.peg.2250
Q183E3_CLOD6	1.1.1.25	WP_011861653.1;YP_001089219.1	cdf:CD630_27080;pdc:CDIF630_02965	272563.120.peg.2852
Q187E7_CLOD6	1.1.1.25	WP_003439416.1;YP_001088343.1	cdf:CD630_18370;pdc:CDIF630_02039	272563.120.peg.1932
Q186D5_CLOD6	1.1.1.23	WP_011861261.1;YP_001088082.1	cdf:CD630_15820;pdc:CDIF630_01753	272563.120.peg.1655
Q183L0_CLOD6	1.1.1.22	WP_011861675.1;YP_001089284.1	cdf:CD630_27710;pdc:CDIF630_03034	272563.120.peg.2919
Q185K9_CLOD6	1.1.1.205	WP_003423106.1;YP_001088850.1	cdf:CD630_23350;pdc:CDIF630_02574	272563.120.peg.2466
Q185K5_CLOD6	1.1.1.17	WP_011861528.1;YP_001088846.1	cdf:CD630_23310;pdc:CDIF630_02570	272563.120.peg.2462
Q18CT0_CLOD6	1.1.1.169	WP_011860663.1;YP_001086658.1	cdf:CD630_01880;pdc:CDIF630_00309	272563.120.peg.203
Q18AQ7_CLOD6	1.1.1.157	WP_003418897.1;YP_001087539.1	cdf:CD630_10580;pdc:CDIF630_01198	272563.120.peg.1098
Q189W7_CLOD6	1.1.1.140	WP_009895815.1;YP_001087245.1	cdf:CD630_07680;pdc:CDIF630_00886	272563.120.peg.790
Q187A2_CLOD6	1.1.1.103	WP_003433612.1;YP_001088298.1	cdf:CD630_17920;pdc:CDIF630_01991	272563.120.peg.1885
Q182R6_CLOD6	1.1.1.100	WP_009897780.1;YP_001089093.1	cdf:CD630_25770;pdc:CDIF630_02830	272563.120.peg.2718
Q18B45_CLOD6	1.1.1.100	WP_003428442.1;YP_001087675.1	cdf:CD630_11820;pdc:CDIF630_01331	272563.120.peg.1233
Q184J7_CLOD6	1.1.1.1	WP_003439845.1;YP_001089524.1	cdf:CD630_30060;pdc:CDIF630_03291	272563.120.peg.3173
Q187L6_CLOD6	1.1.1.1	WP_011861386.1;YP_001088414.1	cdf:CD630_19070;pdc:CDIF630_02111	272563.120.peg.2003
Q18CF0_CLOD6	1.1.1.-	WP_011860631.1;YP_001086529.1	cdf:CD630_00650;pdc:CDIF630_00131	272563.120.peg.71
Q188T6_CLOD6	1.1.1.-	WP_011860836.1;YP_001086964.1	cdf:CD630_04900;pdc:CDIF630_00619	272563.120.peg.515
Q180F5_CLOD6	1.1.1.-	WP_009891785.1;YP_001089826.1	cdf:CD630_33100;pdc:CDIF630_03611	272563.120.peg.3495
Q184U3_CLOD6	1.1.1.-	WP_011861825.1;YP_001089619.1	cdf:CD630_31050;pdc:CDIF630_03389	272563.120.peg.3271
Q18D18_CLOD6	1.1.1.-	WP_003435962.1;YP_001086743.1	cdf:CD630_02740;pdc:CDIF630_00398	272563.120.peg.292
Q185J9_CLOD6	1.1.1.-	WP_004454628.1;YP_001088839.1	cdf:CD630_23240;pdc:CDIF630_02562	272563.120.peg.2455
Q185J7_CLOD6	1.1.1.-	WP_011861524.1;YP_001088838.1	cdf:CD630_23230;pdc:CDIF630_02561	272563.120.peg.2454
Q185E9_CLOD6	1.1.1.-	WP_011861508.1;YP_001088791.1	cdf:CD630_22790;pdc:CDIF630_02514	272563.120.peg.2406
Q18B31_CLOD6	1.1.-.-	WP_003438093.1;YP_001087665.1	cdf:CD630_11730;pdc:CDIF630_01321	272563.120.peg.1223
Q18AE6_CLOD6	none	WP_003433538.1;YP_001087428.1	cdf:CD630_09500	272563.8.peg.997
Q18AD5_CLOD6	none	WP_011861024.1;YP_001087416.1	cdf:CD630_09400	272563.8.peg.985
Q18AD6_CLOD6	none	WP_011861023.1;YP_001087415.1	cdf:CD630_09390	272563.8.peg.984
Q18AC7_CLOD6	none	WP_011861018.1;YP_001087410.1	cdf:CD630_09341	272563.8.peg.979
Q18AC8_CLOD6	none	WP_011861017.1;YP_001087409.1	cdf:CD630_09340	272563.8.peg.978
Q18AC1_CLOD6	none	WP_011861013.1;YP_001087405.1	cdf:CD630_09301;pdc:CDIF630_01056	272563.8.peg.974
Q18AB5_CLOD6	none	WP_011861003.1;YP_001087397.1	cdf:CD630_09230	272563.8.peg.964
Q18AB9_CLOD6	none	WP_011860999.1;YP_001087393.1	cdf:CD630_09190;pdc:CDIF630_01042	272563.8.peg.960
Q18AB0_CLOD6	none	WP_011860994.1;YP_001087388.1	cdf:CD630_09140	272563.8.peg.955
Q18AA3_CLOD6	none	WP_011860990.1;YP_001087384.1	cdf:CD630_09100	272563.8.peg.951
RL24_CLOD6	none	WP_003427723.1;YP_001086548.2	cdf:CD630_00830	272563.8.peg.95
Q18A95_CLOD6	none	WP_011860982.1;YP_001087375.1	cdf:CD630_09010	272563.8.peg.940
Q18A63_CLOD6	none	WP_009888685.1;YP_001087344.1	cdf:CD630_08700	272563.8.peg.909
Q18A55_CLOD6	none	WP_004454202.1;YP_001087336.1	cdf:CD630_08620	272563.8.peg.901
Q18A52_CLOD6	none	WP_004454207.1;YP_001087333.1	cdf:CD630_08560	272563.8.peg.894
Q18A36_CLOD6	none	WP_009895864.1;YP_001087316.1	cdf:CD630_08390	272563.8.peg.877
Q18A23_CLOD6	none	WP_011860967.1;YP_001087303.1	cdf:CD630_08260	272563.8.peg.864
Q18A13_CLOD6	none	WP_011860964.1;YP_001087294.1	cdf:CD630_08170	272563.8.peg.855
Q18CF9_CLOD6	none	WP_009887887.1;YP_001086538.2	cdf:CD630_00740	272563.8.peg.85
Q18A01_CLOD6	none	WP_003437556.1;YP_001087282.1	cdf:CD630_08050	272563.8.peg.842
Q189Z9_CLOD6	none	WP_011860960.1;YP_001087279.1	cdf:CD630_08020	272563.8.peg.839
Q189X5_CLOD6	none	WP_011860954.1;YP_001087255.1	cdf:CD630_07780	272563.8.peg.815
Q17ZT3_CLOD6	none	WP_011572951.1;YP_659586.1	cdf:CD630_p100	272563.8.peg.8
Q189U4_CLOD6	none	WP_003436957.1;YP_001087225.1	cdf:CD630_07480	272563.8.peg.785
Q189U1_CLOD6	none	WP_011860943.1;YP_001087222.1	cdf:CD630_07450	272563.8.peg.782
Q189P1_CLOD6	none	WP_011860924.1;YP_001087174.1	cdf:CD630_06980	272563.8.peg.733
Q189N3_CLOD6	none	WP_011860917.1;YP_001087164.1	cdf:CD630_06880	272563.8.peg.723
Q189N1_CLOD6	none	WP_011860916.1;YP_001087161.1	cdf:CD630_06850	272563.8.peg.720
Q189M3_CLOD6	none	WP_011860915.1;YP_001087158.1	cdf:CD630_06820	272563.8.peg.717
Q189L6_CLOD6	none	WP_011860910.1;YP_001087148.1	cdf:CD630_06720	272563.8.peg.708
Q189L4_CLOD6	none	WP_003439182.1;YP_001087144.1	cdf:CD630_06680	272563.8.peg.704
Q17ZT4_CLOD6	none	WP_011572950.1;YP_659585.1	cdf:CD630_p090	272563.8.peg.7
Q189K1_CLOD6	none	WP_011860902.1;YP_001087131.1	cdf:CD630_06560	272563.8.peg.690
Q189J3_CLOD6	none	WP_011860895.1;YP_001087124.1	cdf:CD630_06490	272563.8.peg.681
Q189J4_CLOD6	none	WP_003440167.1;YP_001087123.1	cdf:CD630_06480	272563.8.peg.680
Q189I2_CLOD6	none	WP_011860891.1;YP_001087117.1	cdf:CD630_06420	272563.8.peg.672
Q189H9_CLOD6	none	WP_011860889.1;YP_001087110.1	cdf:CD630_06350	272563.8.peg.665
Q189H3_CLOD6	none	WP_011860886.1;YP_001087107.1	cdf:CD630_06320	272563.8.peg.662
Q189H5_CLOD6	none	WP_011860884.1;YP_001087105.1	cdf:CD630_06300	272563.8.peg.660
Q189F0_CLOD6	none	WP_011860873.1;YP_001087077.1	cdf:CD630_06020	272563.8.peg.632
Q189C5_CLOD6	none	WP_011860861.1;YP_001087054.1	cdf:CD630_05790	272563.8.peg.607
Q17ZT5_CLOD6	none	WP_011572949.1;YP_659584.1	cdf:CD630_p080	272563.8.peg.6
Q189B4_CLOD6	none	WP_011860859.1;YP_001087045.1	cdf:CD630_05700	272563.8.peg.597
Q188W0_CLOD6	none	WP_011860844.1;YP_001086992.1	cdf:CD630_05140	272563.8.peg.539
Q188V9_CLOD6	none	WP_002324544.1;YP_001086990.1	cdf:CD630_05110	272563.8.peg.537
Q188V4_CLOD6	none	WP_002334012.1;YP_001086988.1	cdf:CD630_05101	272563.8.peg.535
Q188V5_CLOD6	none	WP_002324547.1;YP_001086987.1	cdf:CD630_05100	272563.8.peg.534
Q188V7_CLOD6	none	WP_002324548.1;YP_001086985.1	cdf:CD630_05090	272563.8.peg.533
Q188V1_CLOD6	none	WP_011860841.1;YP_001086983.1	cdf:CD630_05080	272563.8.peg.532
Q188U9_CLOD6	none	WP_002324550.1;YP_001086981.1	cdf:CD630_05070	272563.8.peg.531
Q188U3_CLOD6	none	WP_011860840.1;YP_001086978.1	cdf:CD630_05030	272563.8.peg.528
Q188U4_CLOD6	none	WP_002324553.1;YP_001086977.1	cdf:CD630_05020	272563.8.peg.527
Q188U5_CLOD6	none	WP_002324554.1;YP_001086976.1	cdf:CD630_05010	272563.8.peg.526
Q188U6_CLOD6	none	WP_002324555.1;YP_001086975.1	cdf:CD630_05000	272563.8.peg.525
Q188U7_CLOD6	none	WP_001009056.1;YP_001086974.1	cdf:CD630_04991	272563.8.peg.524
Q188U0_CLOD6	none	WP_002364938.1;YP_001086973.1	cdf:CD630_04990	272563.8.peg.523
Q188U2_CLOD6	none	WP_002324557.1;YP_001086971.1	cdf:CD630_04980	272563.8.peg.522
Q188T7_CLOD6	none	WP_002324558.1;YP_001086970.1	cdf:CD630_04970	272563.8.peg.521
Q188T8_CLOD6	none	WP_002324559.1;YP_001086969.1	cdf:CD630_04960	272563.8.peg.520
Q18CC5_CLOD6	none	WP_004453958.1;YP_001086505.1	cdf:CD630_00420	272563.8.peg.51
Q188S0_CLOD6	none	WP_003434737.1;YP_001086952.1	cdf:CD630_04780	272563.8.peg.502
Q17ZT6_CLOD6	none	WP_011572948.1;YP_659583.1	cdf:CD630_p070	272563.8.peg.5
Q188R6_CLOD6	none	WP_011860828.1;YP_001086946.1	cdf:CD630_04730	272563.8.peg.497
Q188N9_CLOD6	none	WP_011860812.1;YP_001086915.1	cdf:CD630_04440	272563.8.peg.468
Q188N1_CLOD6	none	WP_011860810.1;YP_001086912.1	cdf:CD630_04410	272563.8.peg.465
Q188M6_CLOD6	none	WP_011860803.1;YP_001086903.1	cdf:CD630_04350	272563.8.peg.457
Q188L8_CLOD6	none	WP_011860797.1;YP_001086898.1	cdf:CD630_04300	272563.8.peg.451
Q188K3_CLOD6	none	WP_011860787.1;YP_001086884.1	cdf:CD630_04170;pdc:CDIF630_00544	272563.8.peg.437
Q188K5_CLOD6	none	WP_000466908.1;YP_001086882.1	cdf:CD630_04150;pdc:CDIF630_00542	272563.8.peg.435
Q188J4_CLOD6	none	WP_011860780.1;YP_001086874.1	cdf:CD630_04081	272563.8.peg.428
Q188J5_CLOD6	none	WP_003042651.1;YP_001086873.1	cdf:CD630_04080	272563.8.peg.427
Q18DB9_CLOD6	none	WP_011860769.1;YP_009109548.1	cdf:CD630_03840	272563.8.peg.404
Q17ZT1_CLOD6	none	WP_011572947.1;YP_659582.1	cdf:CD630_p060	272563.8.peg.4
Q18DB5_CLOD6	none	WP_011860763.1;YP_001086844.1	cdf:CD630_03770	272563.8.peg.398
Q181T1_CLOD6	none	WP_011862027.1;YP_001090203.1	cdf:CD630_36781	272563.8.peg.3856
Q181Q6_CLOD6	none	WP_011862025.1;YP_001090176.1	cdf:CD630_36520	272563.8.peg.3827
Q181N8_CLOD6	none	WP_011862021.1;YP_001090161.1	cdf:CD630_36370	272563.8.peg.3812
Q18D98_CLOD6	none	WP_011860749.1;YP_001086828.2	cdf:CD630_03610	272563.8.peg.381
Q181N7_CLOD6	none	WP_011862019.1;YP_001090158.1	cdf:CD630_36350	272563.8.peg.3809
Q181M8_CLOD6	none	WP_011862016.1;YP_001090151.1	cdf:CD630_36280	272563.8.peg.3801
Q181M3_CLOD6	none	WP_011862011.1;YP_001090143.1	cdf:CD630_36200	272563.8.peg.3793
Q181M0_CLOD6	none	WP_011862009.1;YP_001090141.1	cdf:CD630_36180	272563.8.peg.3791
Q181L7_CLOD6	none	WP_011862008.1;YP_001090140.1	cdf:CD630_36170	272563.8.peg.3790
Q18DA0_CLOD6	none	WP_009264383.1;YP_001086826.1	cdf:CD630_03590	272563.8.peg.379
Q181J4_CLOD6	none	WP_011862005.1;YP_001090117.1	cdf:CD630_35930	272563.8.peg.3764
Q18D95_CLOD6	none	WP_011860746.1;YP_001086822.1	cdf:CD630_03550	272563.8.peg.375
Q18D96_CLOD6	none	WP_011860745.1;YP_001086821.1	cdf:CD630_03541	272563.8.peg.374
Q181G5_CLOD6	none	WP_011862000.1;YP_001090088.1	cdf:CD630_35650	272563.8.peg.3735
Q181F3_CLOD6	none	WP_003425974.1;YP_001090074.1	cdf:CD630_35512	272563.8.peg.3721
Q181E2_CLOD6	none	WP_003427659.1;YP_001090063.1	cdf:CD630_35420	272563.8.peg.3710
Q181A7_CLOD6	none	WP_011861985.1;YP_001090029.1	cdf:CD630_35080	272563.8.peg.3676
Q181A1_CLOD6	none	WP_011861981.1;YP_001090024.1	cdf:CD630_35030	272563.8.peg.3671
Q18D91_CLOD6	none	WP_011860743.1;YP_001086816.1	cdf:CD630_03470	272563.8.peg.367
Q180Y9_CLOD6	none	WP_011861980.1;YP_001090010.1	cdf:CD630_34890	272563.8.peg.3657
Q18D86_CLOD6	none	WP_011860740.1;YP_001086810.1	cdf:CD630_03410	272563.8.peg.361
Q180P6_CLOD6	none	WP_003429125.1;YP_001089919.1	cdf:CD630_33990	272563.8.peg.3562
Q180N4_CLOD6	none	WP_011861952.1;YP_001089905.1	cdf:CD630_33870	272563.8.peg.3548
Q180M7_CLOD6	none	WP_009898612.1;YP_001089898.1	cdf:CD630_33780	272563.8.peg.3538
Q180K8_CLOD6	none	WP_011861933.1;YP_001089880.1	cdf:CD630_33630	272563.8.peg.3521
Q180K6_CLOD6	none	WP_011861932.1;YP_001089879.1	cdf:CD630_33620	272563.8.peg.3520
Q180J4_CLOD6	none	WP_011861926.1;YP_001089866.1	cdf:CD630_33490	272563.8.peg.3506
Q180J1_CLOD6	none	WP_002578441.1;YP_001089863.1	cdf:CD630_33460	272563.8.peg.3503
Q180I6_CLOD6	none	WP_002570387.1;YP_001089859.1	cdf:CD630_33421	272563.8.peg.3498
Q180I5_CLOD6	none	WP_005427021.1;YP_001089856.1	cdf:CD630_33390	272563.8.peg.3493
Q180H7_CLOD6	none	WP_011861912.1;YP_001089849.1	cdf:CD630_33330	272563.8.peg.3487
Q180H1_CLOD6	none	WP_009009557.1;YP_001089845.1	cdf:CD630_33290	272563.8.peg.3483
Q180G0_CLOD6	none	WP_011861904.1;YP_001089833.1	cdf:CD630_33160	272563.8.peg.3471
Q180G1_CLOD6	none	WP_003437324.1;YP_001089832.1	cdf:CD630_33151	272563.8.peg.3470
Q180D4_CLOD6	none	WP_003435630.1;YP_001089806.1	cdf:CD630_32900	272563.8.peg.3443
Q180B9_CLOD6	none	WP_011861894.1;YP_001089792.1	cdf:CD630_32760	272563.8.peg.3429
Q180B5_CLOD6	none	WP_011861893.1;YP_001089787.1	cdf:CD630_32710	272563.8.peg.3424
Q18D65_CLOD6	none	WP_011860732.1;YP_001086791.1	cdf:CD630_03220	272563.8.peg.342
Q180A9_CLOD6	none	WP_011861892.1;YP_001089782.1	cdf:CD630_32660	272563.8.peg.3419
Q17ZY3_CLOD6	none	WP_003428088.1;YP_001089755.1	cdf:CD630_32380	272563.8.peg.3391
Q17ZX8_CLOD6	none	WP_011861887.1;YP_001089750.1	cdf:CD630_32330	272563.8.peg.3386
Y3232_CLOD6	none	WP_011861886.1;YP_001089749.1	cdf:CD630_32320	272563.8.peg.3385
Q17ZW6_CLOD6	none	WP_003438792.1;YP_001089737.1	cdf:CD630_32201	272563.8.peg.3373
Q17ZV1_CLOD6	none	WP_011861878.1;YP_001089723.1	cdf:CD630_32070	272563.8.peg.3357
Q17ZU0_CLOD6	none	WP_011861873.1;YP_001089712.1	cdf:CD630_31960	272563.8.peg.3347
Q184Z8_CLOD6	none	WP_011861861.1;YP_001089676.1	cdf:CD630_31600	272563.8.peg.3309
SSRP_CLOD6	none	WP_011861858.1;YP_001089673.1	cdf:CD630_31570	272563.8.peg.3306
Q184Y9_CLOD6	none	WP_011861853.1;YP_001089665.1	cdf:CD630_31510	272563.8.peg.3295
Q18D49_CLOD6	none	WP_003435902.1;YP_001086777.1	cdf:CD630_03080	272563.8.peg.329
Q184X7_CLOD6	none	WP_011861845.1;YP_001089654.1	cdf:CD630_31390	272563.8.peg.3284
Q184W4_CLOD6	none	WP_011861835.1;YP_001089641.1	cdf:CD630_31260	272563.8.peg.3271
Q184V7_CLOD6	none	WP_011861831.1;YP_001089635.1	cdf:CD630_31201	272563.8.peg.3265
Q184T7_CLOD6	none	WP_011861820.1;YP_001089614.1	cdf:CD630_31000	272563.8.peg.3244
Q184Q3_CLOD6	none	WP_009898137.1;YP_001089581.1	cdf:CD630_30670	272563.8.peg.3211
Q184Q0_CLOD6	none	WP_011861801.1;YP_001089577.1	cdf:CD630_30630	272563.8.peg.3207
Q184P4_CLOD6	none	WP_011861798.1;YP_001089572.1	cdf:CD630_30580	272563.8.peg.3202
Q18CA8_CLOD6	none	WP_003425587.1;YP_001086486.1	cdf:CD630_00230	272563.8.peg.32
Q184N5_CLOD6	none	WP_011861794.1;YP_001089565.1	cdf:CD630_30500	272563.8.peg.3194
Q184M6_CLOD6	none	WP_009898107.1;YP_001089552.1	cdf:CD630_30370	272563.8.peg.3181
Q184K6_CLOD6	none	WP_011861781.1;YP_001089533.1	cdf:CD630_30160	272563.8.peg.3160
Q184K3_CLOD6	none	WP_003431989.1;YP_001089530.1	cdf:CD630_30130	272563.8.peg.3157
Q184J0_CLOD6	none	WP_003439828.1;YP_001089517.1	cdf:CD630_29990	272563.8.peg.3143
Q184H3_CLOD6	none	WP_011861773.1;YP_001089501.1	cdf:CD630_29830	272563.8.peg.3127
Q184F6_CLOD6	none	WP_011861762.1;YP_001089483.1	cdf:CD630_29660	272563.8.peg.3111
